rank_from_top,rank_from_bottom,tag,n_questions,acceptance_rate,acceptance_ci_low,acceptance_ci_high,answer_rate,positive_answer_rate,acceptance_given_answered,acceptance_per_answer,self_accepted_share,closed_in_window_share,duplicate_share,median_days_to_first_answer,answers_per_question,distinct_answerers_per_100_questions,window_capture_ratio,first_tag_share,acceptance_rate_as_first_tag,acceptance_rate_as_later_tag,acceptance_rate_lifetime
144,304,asp.net-core,6838,0.327,0.316,0.3382,0.6574,0.3001,0.4974,0.4011,0.1892,0.0202,0.0143,0,0.82,35.5,0.9332,0.2432,0.2826,0.3413,0.3504
145,319,sqlite,2917,0.3322,0.3153,0.3495,0.6226,0.2743,0.5336,0.4389,0.1373,0.0504,0.0432,0,0.76,45.8,0.9613,0.1556,0.3414,0.3305,0.3456
146,293,swift,14505,0.3223,0.3147,0.33,0.5945,0.3054,0.5422,0.4365,0.1286,0.0407,0.0305,0,0.74,20.7,0.9494,0.4897,0.3401,0.3052,0.3395
147,344,delphi,1086,0.3416,0.314,0.3703,0.6215,0.4401,0.5496,0.438,0.1267,0.0525,0.0414,0,0.78,24.2,0.9789,0.6915,0.3582,0.3045,0.349
148,274,c#,47989,0.3166,0.3124,0.3207,0.635,0.3249,0.4985,0.3799,0.1499,0.0536,0.0386,0,0.83,26.9,0.9484,0.9792,0.318,0.2515,0.3338
149,342,makefile,1038,0.3382,0.31,0.3675,0.6185,0.3353,0.5467,0.4625,0.1282,0.0453,0.0385,0,0.73,35.0,0.9804,0.315,0.3639,0.3263,0.3449
150,339,javafx,1118,0.3363,0.3092,0.3645,0.627,0.4651,0.5364,0.4619,0.2048,0.1735,0.1342,0,0.73,28.1,0.9716,0.1914,0.3458,0.3341,0.3462
151,336,.htaccess,1336,0.3338,0.3091,0.3596,0.6557,0.387,0.5091,0.439,0.1256,0.0487,0.0382,0,0.76,28.4,0.9654,0.3376,0.2927,0.3548,0.3458
152,345,state,903,0.3389,0.3087,0.3704,0.6932,0.34,0.4888,0.3521,0.085,0.0255,0.0255,0,0.96,82.1,0.9714,0.0255,0.2609,0.3409,0.3488
153,281,jquery,11899,0.316,0.3077,0.3244,0.6194,0.2733,0.5102,0.3741,0.0973,0.0656,0.0537,0,0.84,43.6,0.9643,0.2044,0.2718,0.3273,0.3277
154,343,vuetify.js,926,0.3369,0.3072,0.368,0.6728,0.3521,0.5008,0.4005,0.0994,0.0162,0.0119,0,0.84,40.5,0.963,0.0799,0.3378,0.3369,0.3499
155,323,vuejs2,1612,0.3288,0.3063,0.3521,0.6377,0.348,0.5156,0.4052,0.1113,0.0217,0.0143,0,0.81,42.2,0.9619,0.1203,0.1856,0.3484,0.3418
156,275,postgresql,12796,0.3136,0.3056,0.3217,0.619,0.315,0.5066,0.4019,0.1246,0.0266,0.0218,0,0.78,30.4,0.9523,0.42,0.278,0.3394,0.3293
157,307,.net-6.0,2485,0.3235,0.3054,0.3422,0.5972,0.3139,0.5418,0.4355,0.245,0.033,0.027,0,0.74,46.5,0.9168,0.0358,0.2247,0.3272,0.3529
158,300,tkinter,4595,0.3186,0.3053,0.3322,0.6061,0.2792,0.5257,0.4344,0.0827,0.0666,0.0598,0,0.73,27.3,0.9644,0.0344,0.2468,0.3212,0.3304
159,318,yaml,1765,0.3263,0.3049,0.3486,0.6555,0.3473,0.4978,0.4103,0.1337,0.0176,0.0125,0,0.8,48.0,0.9505,0.1785,0.2952,0.3331,0.3433
160,335,cmd,1134,0.3316,0.3048,0.3595,0.7134,0.343,0.4648,0.3485,0.1356,0.0873,0.0503,0,0.95,54.1,0.9495,0.0758,0.2558,0.3378,0.3492
161,321,button,1576,0.3274,0.3047,0.351,0.6923,0.2703,0.473,0.337,0.0581,0.0457,0.0381,0,0.97,82.1,0.9754,0.0857,0.2519,0.3345,0.3357
162,338,unix,1013,0.3327,0.3043,0.3623,0.6871,0.4038,0.4842,0.3179,0.0415,0.1106,0.0652,0,1.05,51.5,0.9601,0.1668,0.2071,0.3578,0.3465
163,331,text,1256,0.3296,0.3042,0.3561,0.6648,0.3161,0.4958,0.3419,0.058,0.0486,0.0358,0,0.96,77.3,0.9628,0.0995,0.2,0.3439,0.3424
164,311,blazor,2083,0.3226,0.3029,0.343,0.65,0.3332,0.4963,0.3855,0.1994,0.0158,0.0106,0,0.84,34.6,0.9295,0.2218,0.2987,0.3294,0.3471
165,309,svg,2057,0.3223,0.3025,0.3428,0.6242,0.368,0.5164,0.3953,0.1342,0.0656,0.054,0,0.82,44.2,0.9553,0.1283,0.2652,0.3307,0.3374
166,271,vue.js,10819,0.3109,0.3023,0.3197,0.6139,0.3154,0.5065,0.3996,0.1504,0.0253,0.0171,0,0.78,33.2,0.9399,0.3945,0.3015,0.3171,0.3308
167,325,django-forms,1322,0.3268,0.302,0.3525,0.6331,0.2526,0.5161,0.4252,0.1551,0.0113,0.0113,0,0.77,39.6,0.9579,0.0151,0.1,0.3303,0.3411
168,287,google-cloud-platform,5535,0.3138,0.3017,0.3262,0.6654,0.4143,0.4716,0.3981,0.1831,0.0136,0.0076,0,0.79,27.2,0.943,0.4535,0.2805,0.3415,0.3328
169,303,asynchronous,2522,0.3192,0.3013,0.3376,0.6197,0.3604,0.515,0.3822,0.1056,0.0904,0.0813,0,0.84,60.3,0.9618,0.0753,0.2789,0.3225,0.3319
170,312,google-cloud-functions,1631,0.3219,0.2997,0.345,0.664,0.4231,0.4848,0.4124,0.1962,0.0349,0.0307,0,0.78,34.5,0.9243,0.0399,0.2769,0.3238,0.3483
171,283,pyspark,5198,0.312,0.2996,0.3248,0.6195,0.3067,0.5037,0.3989,0.1085,0.0131,0.0108,0,0.78,21.8,0.9458,0.1841,0.2999,0.3148,0.3299
172,320,lua,1296,0.3241,0.2991,0.35,0.6867,0.3449,0.4719,0.3808,0.0929,0.0239,0.0193,0,0.85,30.6,0.9292,0.6281,0.3514,0.278,0.3488
173,261,mysql,17323,0.3059,0.2991,0.3128,0.6492,0.2931,0.4712,0.3571,0.0953,0.0783,0.063,0,0.86,36.5,0.9624,0.6825,0.3273,0.2598,0.3178
174,292,scala,3010,0.313,0.2966,0.3298,0.6173,0.3761,0.507,0.4099,0.1295,0.0219,0.014,0,0.76,27.5,0.9458,0.7352,0.3226,0.2861,0.3309
175,310,dom,1526,0.3191,0.2962,0.343,0.6468,0.3191,0.4934,0.3489,0.0739,0.0898,0.0727,0,0.91,68.7,0.9587,0.0203,0.1935,0.3217,0.3329
176,263,vba,9296,0.3036,0.2943,0.313,0.6539,0.324,0.4642,0.3567,0.0882,0.0469,0.0353,0,0.85,17.1,0.9671,0.2051,0.2758,0.3107,0.3139
177,299,cypress,2306,0.3127,0.2941,0.3319,0.6852,0.399,0.4563,0.2936,0.1221,0.0074,0.0056,0,1.07,22.4,0.955,0.3122,0.3444,0.2982,0.3274
178,267,git,5975,0.3056,0.2941,0.3174,0.6726,0.4164,0.4543,0.3573,0.1309,0.0939,0.0797,0,0.86,34.7,0.9393,0.8616,0.3087,0.2866,0.3254
179,294,entity-framework-core,2421,0.3114,0.2933,0.3302,0.601,0.3081,0.5182,0.4166,0.1817,0.0322,0.0285,0,0.75,40.6,0.9355,0.1012,0.2163,0.3222,0.3329
180,324,colors,951,0.3218,0.2928,0.3521,0.5952,0.3165,0.5406,0.4141,0.1046,0.0452,0.0358,0,0.78,65.1,0.9623,0.1146,0.1284,0.3468,0.3344
181,295,tailwind-css,2182,0.3107,0.2917,0.3305,0.6719,0.3121,0.4625,0.357,0.1342,0.027,0.022,0,0.87,53.1,0.915,0.1146,0.28,0.3147,0.3396
182,316,smartcontracts,992,0.3185,0.2903,0.3482,0.6835,0.2782,0.4661,0.399,0.1266,0.004,0.001,0,0.8,34.9,0.924,0.0706,0.3857,0.3134,0.3448
183,308,r-markdown,1054,0.314,0.2867,0.3427,0.556,0.3643,0.5648,0.4776,0.1118,0.0199,0.0171,0,0.66,28.0,0.9622,0.1319,0.2302,0.3268,0.3264
184,284,firebase-realtime-database,2230,0.3054,0.2866,0.3248,0.5906,0.2821,0.5171,0.4363,0.0969,0.0839,0.0709,0,0.7,31.4,0.9498,0.0291,0.3231,0.3048,0.3215
185,285,python-requests,2059,0.305,0.2855,0.3252,0.5828,0.2749,0.5233,0.4145,0.1178,0.0253,0.018,0,0.74,50.4,0.9544,0.0301,0.1613,0.3095,0.3196
186,313,fetch-api,916,0.3144,0.2852,0.3452,0.6463,0.3166,0.4865,0.3573,0.1285,0.1124,0.1059,0,0.88,74.7,0.973,0.0076,0.0,0.3168,0.3231
187,235,excel,14745,0.2924,0.2851,0.2998,0.6243,0.3119,0.4683,0.3594,0.0858,0.04,0.0303,0,0.81,22.9,0.9649,0.7609,0.3032,0.2578,0.303
188,286,input,1800,0.3044,0.2836,0.3261,0.66,0.2989,0.4613,0.3073,0.0657,0.0867,0.0672,0,0.99,84.9,0.9734,0.0522,0.0851,0.3165,0.3128
189,306,asp.net-core-webapi,985,0.3107,0.2825,0.3402,0.6203,0.3076,0.5008,0.4053,0.1634,0.0173,0.0122,0,0.77,49.8,0.9474,0.0751,0.2162,0.3183,0.3279
190,209,reactjs,67241,0.2849,0.2815,0.2884,0.6073,0.2812,0.4692,0.3453,0.1101,0.033,0.0271,0,0.83,29.7,0.9492,0.4922,0.2648,0.3044,0.3002
191,266,redux,2670,0.2985,0.2814,0.3161,0.6139,0.303,0.4863,0.3993,0.1117,0.0165,0.0124,0,0.75,42.8,0.9602,0.0831,0.3559,0.2933,0.3109
192,296,scipy,1292,0.305,0.2805,0.3306,0.5588,0.298,0.5457,0.4603,0.1066,0.0077,0.0062,0,0.66,35.3,0.9517,0.0488,0.2222,0.3092,0.3204
193,280,pygame,1731,0.3016,0.2804,0.3236,0.6245,0.2964,0.4829,0.4091,0.0747,0.2779,0.3795,0,0.74,30.5,0.9613,0.0497,0.1977,0.307,0.3137
194,253,django-rest-framework,3451,0.2947,0.2797,0.3101,0.6303,0.2677,0.4676,0.3819,0.1485,0.0075,0.0052,0,0.77,35.8,0.9417,0.0623,0.2047,0.3007,0.313
195,250,axios,3516,0.2941,0.2793,0.3094,0.6021,0.2537,0.4884,0.3749,0.177,0.0356,0.0321,0,0.78,60.3,0.9357,0.0384,0.1926,0.2981,0.3143
196,211,flutter,31576,0.284,0.2791,0.289,0.643,0.2736,0.4417,0.3153,0.1279,0.0157,0.0116,0,0.9,22.0,0.941,0.7449,0.3005,0.2359,0.3018
197,255,performance,3148,0.2945,0.2788,0.3106,0.6045,0.3802,0.4871,0.3473,0.0885,0.0359,0.0206,0,0.85,56.6,0.9557,0.1957,0.1997,0.3175,0.3081
198,243,multithreading,4043,0.2926,0.2788,0.3068,0.5813,0.3567,0.5034,0.3926,0.1014,0.0492,0.0349,0,0.75,42.4,0.9556,0.1427,0.3102,0.2897,0.3062
199,273,xamarin.forms,1866,0.299,0.2787,0.3202,0.6008,0.2326,0.4978,0.402,0.2204,0.0273,0.0214,1,0.74,22.8,0.9362,0.1902,0.2592,0.3084,0.3194
200,227,selenium,8145,0.2873,0.2776,0.2972,0.6366,0.2433,0.4513,0.3424,0.1034,0.0309,0.0248,0,0.84,27.3,0.9559,0.1443,0.1804,0.3053,0.3006
201,215,django,19679,0.2834,0.2772,0.2898,0.5964,0.2503,0.4752,0.3864,0.1452,0.0171,0.0141,0,0.73,25.5,0.9437,0.3846,0.2652,0.2949,0.3004
202,302,serialization,942,0.3057,0.2771,0.3359,0.5998,0.2866,0.5097,0.4103,0.1979,0.0435,0.0403,0,0.75,59.4,0.9664,0.0563,0.2264,0.3105,0.3163
203,291,dependency-injection,1175,0.3021,0.2766,0.329,0.6051,0.3311,0.4993,0.4057,0.1296,0.0264,0.0238,0,0.74,56.2,0.9342,0.0715,0.25,0.3061,0.3234
204,289,groovy,1211,0.3014,0.2762,0.3278,0.6218,0.2675,0.4847,0.4069,0.1726,0.0198,0.0165,0,0.74,31.5,0.9432,0.2634,0.2947,0.3038,0.3196
205,216,laravel,13628,0.2825,0.275,0.2901,0.6501,0.267,0.4346,0.322,0.1506,0.0286,0.0177,0,0.88,34.4,0.9446,0.4182,0.2627,0.2968,0.2991
206,269,bootstrap-4,1653,0.2958,0.2743,0.3183,0.6503,0.2583,0.4549,0.3333,0.0859,0.0284,0.0242,0,0.89,65.5,0.976,0.075,0.2581,0.2989,0.3031
207,240,material-ui,3971,0.2878,0.274,0.3021,0.58,0.2576,0.4963,0.3962,0.1216,0.0098,0.0073,0,0.73,43.6,0.9293,0.067,0.1654,0.2966,0.3097
208,277,mariadb,1338,0.2975,0.2736,0.3225,0.5964,0.281,0.4987,0.3845,0.1809,0.0463,0.0389,0,0.77,42.5,0.959,0.1196,0.2,0.3107,0.3102
209,210,mongodb,11977,0.2809,0.2729,0.289,0.5679,0.2387,0.4946,0.4086,0.1254,0.0178,0.0144,0,0.69,30.3,0.9541,0.3735,0.3073,0.2651,0.2944
210,279,swing,1268,0.2973,0.2728,0.3231,0.6025,0.3517,0.4935,0.4067,0.1247,0.086,0.0623,0,0.73,28.3,0.9496,0.0071,0.2222,0.2979,0.3131
211,288,jmeter,1121,0.2988,0.2728,0.3263,0.9536,0.2239,0.3134,0.2785,0.0478,0.0107,0.008,0,1.07,9.6,0.9306,0.5192,0.3024,0.295,0.3211
212,282,dax,1185,0.2979,0.2725,0.3245,0.6101,0.27,0.4882,0.3966,0.0963,0.0,8.0E-4,0,0.75,17.0,0.9619,0.0861,0.2059,0.3066,0.3097
213,298,stored-procedures,923,0.3012,0.2725,0.3316,0.636,0.3218,0.4736,0.3829,0.1475,0.0423,0.0325,0,0.79,43.1,0.972,0.0943,0.2874,0.3026,0.3099
214,200,angular,19551,0.2787,0.2724,0.285,0.6132,0.2607,0.4544,0.3489,0.1489,0.019,0.0121,0,0.8,30.7,0.9453,0.6675,0.2711,0.2938,0.2948
215,259,react-redux,2033,0.2917,0.2723,0.3118,0.605,0.2804,0.4821,0.3836,0.1282,0.0212,0.0167,0,0.76,49.5,0.9627,0.032,0.1385,0.2967,0.303
216,262,assembly,1887,0.292,0.2719,0.3129,0.5421,0.4616,0.5386,0.4454,0.0835,0.1849,0.1744,0,0.66,21.1,0.9633,0.6539,0.2885,0.2986,0.3031
217,272,winapi,1361,0.2954,0.2717,0.3202,0.5658,0.3402,0.5221,0.4389,0.1766,0.0558,0.0426,0,0.67,29.8,0.9571,0.1425,0.2732,0.2991,0.3086
218,249,winforms,2224,0.29,0.2715,0.3092,0.5832,0.2675,0.4973,0.3881,0.2031,0.0477,0.0378,0,0.75,41.5,0.9389,0.0576,0.1875,0.2963,0.3089
219,268,fastapi,1468,0.2943,0.2715,0.3181,0.6035,0.295,0.4876,0.4118,0.1667,0.0252,0.0191,0,0.71,36.5,0.929,0.045,0.197,0.2989,0.3168
220,297,azure-databricks,916,0.3002,0.2714,0.3307,0.7882,0.2904,0.3809,0.3293,0.1527,0.0044,0.0022,0,0.91,26.4,0.8958,0.0895,0.2195,0.3082,0.3352
221,234,mongoose,4052,0.285,0.2714,0.2991,0.5753,0.2308,0.4955,0.4055,0.1359,0.0178,0.016,0,0.7,35.6,0.9452,0.0402,0.135,0.2913,0.3016
222,278,gitlab-ci,1181,0.2964,0.271,0.323,0.6613,0.2972,0.4481,0.3804,0.2143,0.0051,0.0042,0,0.78,38.4,0.9235,0.1143,0.2741,0.2992,0.3209
223,270,databricks,1418,0.2941,0.2709,0.3183,0.6559,0.2856,0.4484,0.3854,0.1751,0.0042,0.0035,0,0.76,29.1,0.935,0.1269,0.3556,0.2851,0.3145
224,254,xamarin,2033,0.2902,0.2709,0.3103,0.5799,0.2179,0.5004,0.4126,0.2559,0.0207,0.0167,1,0.7,24.8,0.9516,0.2725,0.2816,0.2934,0.305
225,247,entity-framework,2061,0.2882,0.2691,0.3081,0.589,0.2761,0.4893,0.39,0.1431,0.0277,0.0233,0,0.74,43.1,0.9459,0.1601,0.2758,0.2906,0.3047
226,252,optimization,1886,0.289,0.269,0.3098,0.5854,0.3431,0.4937,0.3628,0.044,0.0286,0.018,0,0.8,49.1,0.9528,0.1246,0.2128,0.2998,0.3033
227,276,environment-variables,1109,0.2949,0.2688,0.3224,0.6114,0.3039,0.4823,0.3902,0.208,0.046,0.0352,0,0.76,65.8,0.9316,0.0694,0.2338,0.2994,0.3165
228,242,solidity,2265,0.287,0.2687,0.306,0.6821,0.249,0.4207,0.3601,0.1077,0.0106,0.0062,0,0.8,26.3,0.9559,0.2777,0.3005,0.2818,0.3002
229,236,forms,3193,0.2841,0.2687,0.3,0.6032,0.2393,0.4709,0.3595,0.1147,0.041,0.0332,0,0.79,64.3,0.9598,0.1059,0.1805,0.2963,0.296
230,257,azure-pipelines,1721,0.2894,0.2684,0.3112,0.7048,0.2812,0.4106,0.3502,0.2169,0.0058,0.0052,1,0.83,30.6,0.9291,0.0837,0.2292,0.2949,0.3114
231,264,ms-access,1473,0.2906,0.2679,0.3143,0.6823,0.3293,0.4259,0.3429,0.1425,0.0597,0.0468,0,0.85,29.6,0.9554,0.2111,0.2219,0.309,0.3041
232,191,firebase,12424,0.2736,0.2658,0.2815,0.5724,0.2827,0.478,0.3979,0.1509,0.0608,0.0508,0,0.69,30.9,0.9413,0.2994,0.2559,0.2811,0.2906
233,195,.net,10005,0.2743,0.2656,0.2831,0.5614,0.2871,0.4885,0.3849,0.1917,0.039,0.0293,0,0.71,38.1,0.9413,0.2739,0.2142,0.2969,0.2914
234,258,gcc,1487,0.2878,0.2654,0.3114,0.5192,0.3295,0.5544,0.4477,0.1869,0.0888,0.078,0,0.64,35.0,0.9532,0.2044,0.1908,0.3128,0.302
235,248,azure-active-directory,1580,0.2854,0.2637,0.3082,0.793,0.2715,0.3599,0.3233,0.1574,0.0044,0.0013,1,0.88,26.0,0.928,0.2044,0.2786,0.2872,0.3076
236,265,fetch,1178,0.2886,0.2635,0.3152,0.6061,0.2606,0.4762,0.3598,0.1088,0.073,0.0705,0,0.8,68.3,0.9341,0.0204,0.2083,0.2903,0.309
237,246,exception,1504,0.2846,0.2623,0.3079,0.6004,0.3238,0.474,0.3546,0.1425,0.0572,0.0445,0,0.8,68.2,0.949,0.0818,0.2358,0.2889,0.2999
238,238,validation,1978,0.2806,0.2612,0.3008,0.5981,0.2674,0.4691,0.3506,0.1315,0.0329,0.0253,0,0.8,67.4,0.9423,0.1239,0.2041,0.2914,0.2978
239,154,java,58038,0.263,0.2595,0.2666,0.5834,0.2868,0.4508,0.34,0.1448,0.0679,0.0485,0,0.77,27.3,0.9425,0.9849,0.264,0.1989,0.2791
240,194,apache-spark,5451,0.271,0.2593,0.2829,0.5553,0.2748,0.4879,0.3988,0.1476,0.0132,0.0108,0,0.68,22.4,0.939,0.4168,0.2284,0.3014,0.2886
241,165,php,30180,0.2642,0.2592,0.2692,0.5878,0.251,0.4494,0.3473,0.1452,0.0882,0.0712,0,0.76,32.5,0.9502,0.9026,0.2652,0.2547,0.278
242,226,scikit-learn,2136,0.2772,0.2586,0.2965,0.5693,0.2903,0.4868,0.4178,0.0929,0.0309,0.015,0,0.66,36.7,0.9487,0.0885,0.1746,0.2871,0.2921
243,256,data-science,1145,0.2838,0.2585,0.3106,0.6114,0.3048,0.4643,0.3498,0.0462,0.0629,0.0402,0,0.81,57.7,0.9615,0.0437,0.12,0.2913,0.2952
244,245,memory,1281,0.2818,0.2579,0.3071,0.5582,0.3568,0.5049,0.3776,0.1025,0.0757,0.0585,0,0.75,54.6,0.9377,0.1311,0.2202,0.2911,0.3005
245,175,azure,10865,0.2658,0.2576,0.2742,0.7192,0.241,0.3696,0.3258,0.1873,0.0074,0.0052,1,0.82,23.8,0.9171,0.6935,0.2737,0.248,0.2898
246,214,file,2970,0.2731,0.2573,0.2894,0.6077,0.2838,0.4493,0.3226,0.1036,0.0663,0.0481,0,0.85,66.1,0.9541,0.1199,0.1545,0.2892,0.2862
247,260,d3.js,1000,0.284,0.2569,0.3127,0.475,0.259,0.5979,0.541,0.1585,0.031,0.027,0,0.53,28.6,0.9827,0.18,0.2444,0.2927,0.289
248,239,ethereum,1569,0.2785,0.2569,0.3012,0.6322,0.2753,0.4405,0.382,0.1625,0.007,0.0038,0,0.73,28.8,0.9438,0.348,0.3223,0.2551,0.2951
249,205,azure-devops,3399,0.2716,0.2569,0.2868,0.6764,0.253,0.4015,0.3466,0.1863,0.0109,0.0088,1,0.78,26.7,0.9193,0.4437,0.2732,0.2702,0.2954
250,224,azure-functions,1942,0.2755,0.2561,0.2958,0.776,0.2492,0.355,0.3107,0.2262,0.0062,0.0051,1,0.89,32.0,0.9177,0.1596,0.2484,0.2806,0.3002
251,232,pine-script,1681,0.2766,0.2558,0.2985,0.6573,0.1689,0.4208,0.3815,0.0366,0.0012,0.0,0,0.73,9.1,0.9748,0.8929,0.2865,0.1944,0.2838
252,219,gitlab,2216,0.2739,0.2558,0.2929,0.6489,0.2838,0.4221,0.3617,0.2026,0.0167,0.0122,0,0.76,35.2,0.9169,0.389,0.2807,0.2696,0.2987
253,178,database,7372,0.2656,0.2556,0.2758,0.5933,0.263,0.4476,0.3556,0.0955,0.0384,0.0269,0,0.75,47.5,0.95,0.2911,0.2074,0.2895,0.2796
254,184,ruby-on-rails,5254,0.2661,0.2543,0.2782,0.5845,0.2712,0.4552,0.3722,0.1931,0.0124,0.008,0,0.71,30.1,0.9203,0.8552,0.2698,0.2444,0.2891
255,201,selenium-webdriver,3175,0.2693,0.2541,0.285,0.6088,0.2309,0.4423,0.3386,0.1123,0.0309,0.0249,0,0.8,32.0,0.9521,0.0674,0.1075,0.281,0.2828
256,241,stripe-payments,1150,0.2783,0.2531,0.3049,0.6791,0.2843,0.4097,0.3556,0.1719,0.0078,0.007,0,0.78,30.3,0.9496,0.2357,0.3321,0.2617,0.293
257,222,animation,1711,0.2735,0.2529,0.2951,0.5453,0.2577,0.5016,0.4105,0.1197,0.0251,0.0216,0,0.67,50.3,0.961,0.1204,0.2961,0.2704,0.2846
258,251,datatable,967,0.2802,0.2529,0.3094,0.545,0.2399,0.5142,0.4106,0.0959,0.0217,0.0196,0,0.68,53.7,0.9679,0.0465,0.1111,0.2885,0.2896
259,196,asp.net-mvc,3276,0.2677,0.2528,0.2831,0.5733,0.2125,0.467,0.373,0.1608,0.0238,0.0211,0,0.72,40.1,0.9491,0.2137,0.1986,0.2865,0.2821
260,207,vb.net,2514,0.2693,0.2523,0.287,0.576,0.2411,0.4675,0.3714,0.195,0.0215,0.0171,0,0.73,27.8,0.9522,0.5919,0.2554,0.2895,0.2828
261,218,pyqt5,1827,0.2715,0.2516,0.2923,0.439,0.1976,0.6185,0.5592,0.1694,0.1106,0.1034,0,0.49,21.5,0.952,0.0969,0.2147,0.2776,0.2852
262,229,angular-material,1432,0.2737,0.2513,0.2974,0.5726,0.2444,0.478,0.3802,0.1403,0.0098,0.0063,0,0.72,43.4,0.9538,0.0566,0.0864,0.285,0.287
263,220,graph,1671,0.2711,0.2503,0.2929,0.544,0.2663,0.4983,0.4206,0.0684,0.0221,0.0186,0,0.64,40.5,0.9477,0.1783,0.2282,0.2804,0.2861
264,203,laravel-8,2356,0.2674,0.2499,0.2856,0.5913,0.2292,0.4523,0.3404,0.1444,0.0199,0.0123,0,0.79,50.7,0.9403,0.1104,0.1577,0.281,0.2844
265,244,python-asyncio,937,0.2775,0.2498,0.307,0.5229,0.2775,0.5306,0.4514,0.1731,0.0203,0.0171,0,0.61,39.2,0.963,0.0352,0.3636,0.2743,0.2882
266,233,search,1215,0.2733,0.2489,0.299,0.5728,0.2716,0.477,0.3487,0.1024,0.0255,0.0165,0,0.78,66.7,0.954,0.1432,0.1379,0.2959,0.2864
267,228,canvas,1289,0.2723,0.2487,0.2973,0.5213,0.2444,0.5223,0.4529,0.1168,0.0659,0.0582,0,0.6,37.9,0.959,0.0721,0.1505,0.2818,0.2839
268,237,azure-data-factory,1136,0.2738,0.2486,0.3004,0.8327,0.2588,0.3288,0.2907,0.0965,0.0018,0.0018,1,0.94,22.0,0.9147,0.3257,0.3162,0.2533,0.2993
269,212,frontend,1841,0.2683,0.2486,0.289,0.6089,0.2765,0.4407,0.3291,0.0688,0.0516,0.0353,0,0.82,69.1,0.9537,0.0244,0.2,0.27,0.2814
270,159,unity3d,7090,0.2578,0.2478,0.2681,0.6134,0.241,0.4203,0.3315,0.14,0.034,0.021,0,0.78,31.1,0.9491,0.3272,0.1983,0.2868,0.2717
271,217,kivy,1453,0.2677,0.2456,0.2911,0.5203,0.15,0.5146,0.4698,0.1131,0.0034,0.0041,0,0.57,17.8,0.9581,0.0585,0.1412,0.2756,0.2794
272,148,linux,9712,0.2541,0.2456,0.2629,0.5517,0.285,0.4606,0.3474,0.1552,0.071,0.0427,0,0.73,38.1,0.9388,0.6327,0.2614,0.2417,0.2707
273,151,express,7742,0.2548,0.2453,0.2647,0.5615,0.2121,0.4539,0.3657,0.1678,0.0278,0.0226,0,0.7,41.6,0.9436,0.0583,0.1996,0.2583,0.2701
274,231,events,1053,0.2707,0.2447,0.2983,0.5518,0.2555,0.4905,0.3883,0.1263,0.0437,0.0389,0,0.7,63.0,0.9406,0.1481,0.1538,0.291,0.2877
275,192,user-interface,2093,0.2623,0.2439,0.2816,0.56,0.2499,0.4684,0.3778,0.1239,0.0502,0.0382,0,0.69,54.0,0.9466,0.0913,0.1518,0.2734,0.2771
276,190,github-actions,2228,0.2617,0.2438,0.2803,0.5386,0.2478,0.4858,0.4277,0.3019,0.013,0.0108,0,0.61,36.8,0.9124,0.1692,0.2175,0.2707,0.2868
277,193,firebase-authentication,2047,0.2623,0.2437,0.2818,0.5491,0.2633,0.4778,0.399,0.1732,0.0601,0.0532,0,0.66,38.4,0.9148,0.0293,0.1833,0.2647,0.2868
278,166,pytorch,3993,0.2554,0.2422,0.2692,0.5359,0.2434,0.4766,0.4179,0.1333,0.0113,0.0085,0,0.61,26.6,0.9444,0.2169,0.2402,0.2597,0.2705
279,162,.net-core,3994,0.2551,0.2419,0.2689,0.5621,0.2702,0.4539,0.3659,0.21,0.0255,0.0205,0,0.7,43.6,0.9272,0.1683,0.2024,0.2658,0.2752
280,199,dockerfile,1618,0.2627,0.2418,0.2847,0.5754,0.2824,0.4565,0.3728,0.2,0.0464,0.0383,0,0.7,48.1,0.9382,0.0402,0.1231,0.2685,0.28
281,204,android-recyclerview,1503,0.2628,0.2412,0.2856,0.5602,0.2076,0.4691,0.3555,0.1772,0.0346,0.0293,0,0.74,46.7,0.945,0.0253,0.0526,0.2683,0.2781
282,225,mockito,994,0.2676,0.241,0.296,0.5956,0.2606,0.4493,0.3649,0.1391,0.0161,0.0141,0,0.73,46.3,0.9638,0.0443,0.1818,0.2716,0.2777
283,230,design-patterns,913,0.2683,0.2406,0.298,0.6166,0.3614,0.4352,0.3262,0.0408,0.046,0.0208,0,0.82,61.9,0.9423,0.1512,0.2246,0.2761,0.2848
284,155,unit-testing,4183,0.2534,0.2405,0.2668,0.5295,0.2453,0.4786,0.4105,0.2019,0.0179,0.0143,0,0.62,44.1,0.9217,0.1451,0.2438,0.255,0.2749
285,208,routes,1354,0.2629,0.2402,0.287,0.616,0.2371,0.4269,0.3387,0.1854,0.0236,0.0199,0,0.78,68.3,0.9418,0.0879,0.1765,0.2713,0.2792
286,170,qt,2746,0.256,0.24,0.2727,0.5091,0.221,0.5029,0.4337,0.229,0.0335,0.0288,0,0.59,28.2,0.9373,0.3099,0.2432,0.2617,0.2731
287,221,parallel-processing,984,0.2663,0.2396,0.2947,0.5945,0.3862,0.4479,0.3536,0.1107,0.0325,0.0234,0,0.75,49.9,0.9357,0.1026,0.2574,0.2673,0.2846
